month,Acer,Apple,Asus,Dell,HP,Huawei,LG,Lenovo,Motorola,Samsung,Toshiba
January,17840.0,5174356.0,20932.0,10508.0,15703.0,2887.0,39199.0,17987.0,9484.0,140489.0,38831.0
February,38083.0,4817636.0,29195.0,13734.0,44397.0,3317.0,85243.0,12413.0,16491.0,113430.0,52316.0
March,10523.0,5288058.0,13928.0,8918.0,18020.0,2548.0,45113.0,4374.0,5254.0,132459.0,48310.0
April,15049.0,8085302.0,13340.0,7542.0,17308.0,1824.0,47318.0,4032.0,3540.0,124734.0,48051.0
May,28562.0,11486312.0,13665.0,7180.0,18884.0,2203.0,48983.0,4177.0,5258.0,111439.0,60116.0
June,19481.0,8432184.0,16770.0,11637.0,14595.0,4584.0,31924.0,6567.0,5090.0,104166.0,70780.0
July,10829.0,9867931.0,15699.0,7590.0,15311.0,3594.0,37794.0,5885.0,189972.0,88764.0,31085.0
August,11478.0,12429139.0,25882.0,10061.0,17690.0,2799.0,42165.0,11779.0,13644.0,106845.0,41285.0
September,13556.0,11884791.0,22919.0,12757.0,24828.0,2784.0,28867.0,10819.0,10000.0,94623.0,49095.0
October,16107.0,11298680.0,19353.0,27393.0,18824.0,2394.0,28467.0,25277.0,8969.0,115099.0,51745.0
November,8857.0,11573395.0,17802.0,19741.0,18203.0,2013.0,25979.0,27405.0,7780.0,106327.0,48096.0
December,10516.0,12305258.0,23288.0,27297.0,20412.0,3597.0,40301.0,15330.0,9630.0,190521.0,54666.0
